status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message
153080620724_10157858141955725,"Once again, the media shows its true colors -- I was supposed to be debating #CrookedHillary, NOT Martha, NOT Anderson, #CrookedHillary. We STILL won -- BIG LEAGUE!",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858141955725/?type=3,2016-10-09 21:40:59,280737,31288,66818,254554,13515,666,2624,383,8995,241685.0,18564.5,"['media', 'shows', 'true', 'colors', 'supposed', 'debating', 'CrookedHillary', 'NOT', 'Martha', 'NOT', 'Anderson', 'CrookedHillary', 'We', 'STILL', 'BIG', 'LEAGUE']"
153080620724_10157858073385725,I will be a President for ALL! #MakeAmericaGreatAgain,Deplorables,video,https://www.facebook.com/DonaldTrump/videos/10157858073385725/,2016-10-09 21:36:20,134634,7823,11209,122165,10708,137,1226,34,364,88741.0,779.0,"['President', 'ALL', 'MakeAmericaGreatAgain']"
153080620724_10157858119390725,#CrookedHillary wants to KILL the coal companies! We must PROTECT our coal companies!,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858119390725/?type=3,2016-10-09 21:33:46,20321,1745,9097,16266,554,163,93,168,3077,22495.5,6406.0,"['CrookedHillary', 'wants', 'KILL', 'coal', 'companies', 'We', 'must', 'PROTECT', 'coal', 'companies']"
153080620724_10157858092345725,"#CrookedHillary wants to ""change the balance on the Supreme Court."" 2nd Amendment supporters know what that means...",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858092345725/?type=3,2016-10-09 21:28:56,15199,1507,2992,12765,346,82,62,39,1905,11298.5,3868.5,"['CrookedHillary', 'wants', 'change', 'balance', 'Supreme', 'Court', 'Amendment', 'supporters', 'know', 'means']"
153080620724_10157858035250725,"#CrookedHillary has been a Washington, DC insider for 30 years! We need a change and I will be the one to #MakeAmericaGreatAgain and fight for YOU, not the insiders!",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858035250725/?type=3,2016-10-09 21:25:10,15254,1355,2119,13665,698,46,57,25,763,10755.0,1563.5,"['CrookedHillary', 'Washington', 'DC', 'insider', 'years', 'We', 'need', 'change', 'MakeAmericaGreatAgain', 'fight', 'YOU', 'insiders']"
153080620724_10157857977945725,We cannot afford four more years of these FAILED policies!,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857977945725/?type=3,2016-10-09 21:12:00,37891,2341,7161,34222,1186,128,95,101,2159,29166.5,4469.5,"['We', 'afford', 'years', 'FAILED', 'policies']"
153080620724_10157857950550725,"#CrookedHillary is going to RAISE taxes, I will LOWER them!",Lowering Taxes,video,https://www.facebook.com/DonaldTrump/videos/10157857950550725/,2016-10-09 21:09:17,24854,2478,3269,22694,1739,38,263,8,112,18027.5,236.0,"['CrookedHillary', 'going', 'RAISE', 'taxes', 'LOWER']"
153080620724_10157857926070725,History lesson: #CrookedHillary blames her two-faced stance on Wall Street on — get this — Abraham Lincoln!,Honest Abe vs. Hillary Clinton,video,https://www.facebook.com/DonaldTrump/videos/10157857926070725/,2016-10-09 21:04:55,24192,2170,5771,19447,1391,147,3033,21,153,19918.0,337.5,"['History', 'lesson', 'CrookedHillary', 'blames', 'stance', 'Wall', 'Street', 'get', 'Abraham', 'Lincoln']"
153080620724_10157857931125725,"History lesson: There's a big difference between Hillary Clinton and Abraham Lincoln. For one, his nickname is Honest Abe.",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857931125725/?type=3,2016-10-09 21:01:38,256364,9077,78102,221599,13140,404,20435,71,715,241496.5,1536.5,"['History', 'lesson', 'There', 'big', 'difference', 'Hillary', 'Clinton', 'Abraham', 'Lincoln', 'For', 'nickname', 'Honest', 'Abe']"
153080620724_10157857838115725,"I hope when the MSM runs its ""interruption counters"" they consider the number of times the moderators interrupted me compared to #CrookedHillary!",Trump vs. Moderators,video,https://www.facebook.com/DonaldTrump/videos/10157857838115725/,2016-10-09 20:51:10,27169,3755,2618,24585,1164,66,189,35,1130,17449.5,2312.5,"['hope', 'MSM', 'runs', 'interruption', 'counters', 'consider', 'number', 'times', 'moderators', 'interrupted', 'compared', 'CrookedHillary']"
153080620724_10157857798770725,I stand for ALL Americans and we will #MakeAmericaSafeAgain and defeat radical Islamic terrorism!,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857798770725/?type=3,2016-10-09 20:45:22,80348,2627,8227,74334,5444,84,333,4,149,55035.5,304.0,"['stand', 'ALL', 'Americans', 'MakeAmericaSafeAgain', 'defeat', 'radical', 'Islamic', 'terrorism']"
153080620724_10157857765735725,There has never been so many lies and so much deception. A special prosecutor will look into #CrookedHillary!,Special Prosecutor,video,https://www.facebook.com/DonaldTrump/videos/10157857765735725/,2016-10-09 20:41:37,47952,4633,17001,41959,4814,116,931,12,120,51411.0,258.0,"['There', 'many', 'lies', 'much', 'deception', 'special', 'prosecutor', 'look', 'CrookedHillary']"
153080620724_10157857732765725,Because #CrookedHillary would be in JAIL!,Hillary Clinton Would Be In Jail,video,https://www.facebook.com/DonaldTrump/videos/10157857732765725/,2016-10-09 20:33:18,438308,58653,656625,342760,43642,1465,49238,122,1081,1201424.5,2345.0,"['Because', 'CrookedHillary', 'would', 'JAIL']"
153080620724_10157857717180725,If I win- I am going to instruct my AG to get a special prosecutor to look into your situation bc there's never been anything like your lies.,,status,,2016-10-09 20:28:25,200387,9027,13504,178031,17371,354,4362,26,243,126996.5,525.0,"['If', 'going', 'instruct', 'AG', 'get', 'special', 'prosecutor', 'look', 'situation', 'bc', 'anything', 'like', 'lies']"
153080620724_10157857664810725,I am running for YOU. I am running to #MakeAmericaGreatAgain because AMERICANS have had ENOUGH!,Why I Ran,video,https://www.facebook.com/DonaldTrump/videos/10157857664810725/,2016-10-09 20:23:40,120977,7872,7774,110385,9449,103,368,27,645,76405.5,1330.5,"['running', 'YOU', 'running', 'MakeAmericaGreatAgain', 'AMERICANS', 'ENOUGH']"
153080620724_10157857638935725,"Unlike #CrookedHillary, I will SAVE American jobs and SAVE Americans' futures! #MakeAmericaGreatAgain",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857638935725/?type=3,2016-10-09 20:22:22,17742,1004,1751,15981,1565,15,70,1,110,12197.0,221.5,"['Unlike', 'CrookedHillary', 'SAVE', 'American', 'jobs', 'SAVE', 'Americans', 'futures', 'MakeAmericaGreatAgain']"
153080620724_10157857656885725,TIME TO MAKE AMERICA GREAT AGAIN!,"Instagram video by Donald J. Trump • Oct 10, 2016 at 1:18am UTC",video,https://instagram.com/p/BLXRt1XDyjB/,2016-10-09 20:19:52,12958,638,371,11839,997,16,69,1,36,7489.0,73.5,"['TIME', 'TO', 'MAKE', 'AMERICA', 'GREAT', 'AGAIN']"
153080620724_10157857601245725,My plan begins at home. I will #MakeAmericaSafeAgain!,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857601245725/?type=3,2016-10-09 20:13:19,101842,3068,12500,94649,6707,51,339,9,87,72832.5,187.5,"['My', 'plan', 'begins', 'home', 'MakeAmericaSafeAgain']"
153080620724_10157857553580725,I AM WITH YOU!,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857553580725/?type=3,2016-10-09 20:08:46,100624,2205,14586,92609,7289,82,544,6,94,75554.5,197.0,"['WITH', 'YOU']"
153080620724_10157857495330725,"I am ready to fight for YOU, America! Let's #MakeAmericaGreatAgain!",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857495330725/?type=3,2016-10-09 20:00:55,62203,2117,6646,57421,4434,42,230,6,70,43155.5,149.0,"['ready', 'fight', 'YOU', 'America', 'Let', 'MakeAmericaGreatAgain']"
153080620724_10157857517800725,Join Newt Gingrich via Facebook Live! -DJT,Newt Gingrich,video,https://www.facebook.com/newtgingrich/videos/10154556135739197/,2016-10-09 19:57:36,13559,1184,1,12584,829,41,72,3,30,7163.5,64.5,"['Join', 'Newt', 'Gingrich', 'via', 'Facebook', 'Live']"
153080620724_10157857037430725,"Join me in St. Louis, Missouri - as I conclude my debate prep.",,video,https://www.facebook.com/DonaldTrump/videos/10157857037430725/,2016-10-09 18:25:50,146602,72168,45152,106374,32519,1170,1760,719,4060,154604.0,9198.5,"['Join', 'Louis', 'Missouri', 'conclude', 'debate', 'prep']"
