status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message,pos_words,neg_words,neu_words
52293590957_10150443034355958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443034355958/?type=3,2011-12-19 17:29:33,3,1,0,3,0,0,0,0,0,1.5,0.0,[],0,0,0
52293590957_10150443032965958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443032965958/?type=3,2011-12-19 17:28:41,2,0,1,2,0,0,0,0,0,2.5,0.0,[],0,0,0
52293590957_10150443032315958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443032315958/?type=3,2011-12-19 17:28:16,1,0,0,1,0,0,0,0,0,0.5,0.0,[],0,0,0
52293590957_10150443031715958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443031715958/?type=3,2011-12-19 17:27:49,8,3,2,8,0,0,0,0,0,7.0,0.0,[],0,0,0
52293590957_10150443031125958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443031125958/?type=3,2011-12-19 17:27:21,3,0,1,3,0,0,0,0,0,3.0,0.0,[],0,0,0
52293590957_10150443030350958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443030350958/?type=3,2011-12-19 17:26:59,4,0,0,4,0,0,0,0,0,2.0,0.0,[],0,0,0
52293590957_10150443028235958,,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150443028235958/?type=3,2011-12-19 17:25:27,1,0,1,1,0,0,0,0,0,2.0,0.0,[],0,0,0
52293590957_10150434378110958,"Updated photos will be taken this weekend, so that we have some with Zach. A huge thanks to Carla for helping us out with the shoot. Using Brooklyn as our backdrop in different locations.",,status,,2011-12-14 16:13:37,0,4,0,0,0,0,0,0,0,0.0,0.0,"['updated', 'photos', 'taken', 'weekend', 'zach', 'huge', 'thanks', 'carla', 'helping', 'shoot', 'using', 'brooklyn', 'backdrop', 'different', 'locations']",1,0,14
52293590957_10150432595140958,It's cold out there! Sip on some warm bourbon. 'Tis the season!,,status,,2011-12-13 16:59:37,0,0,0,0,0,0,0,0,0,0.0,0.0,"['cold', 'sip', 'warm', 'bourbon', 'season']",1,1,3
52293590957_10150418481220958,"Keep liking our page, people! Doing so will add years to your life. (Not really, but we'd like to think so).",,status,,2011-12-07 16:46:24,0,0,0,0,0,0,0,0,0,0.0,0.0,"['keep', 'liking', 'page', 'people', 'doing', 'add', 'years', 'life', 'like', 'think']",2,0,8
52293590957_10150414619535958,"Everyone having a good week so far? I know it's only Monday, but no time like the present. Keep it here and keep it rockin'!",,status,,2011-12-05 16:19:02,0,0,0,0,0,0,0,0,0,0.0,0.0,"['good', 'week', 'know', 'monday', 'time', 'like', 'present', 'keep', 'keep', 'rockin']",2,0,8
52293590957_10150403203540958,"Hello POK fans! We'll be back in the studio tonight working on the set list for our future shows. The new songs are sounding great. Keep it here for updates. And follow us on the twitter, @POK_Band.",,status,,2011-11-29 17:26:01,0,0,0,0,0,0,0,0,0,0.0,0.0,"['hello', 'pok', 'fans', 'studio', 'tonight', 'working', 'set', 'list', 'future', 'shows', 'new', 'songs', 'sounding', 'great', 'keep', 'updates', 'and', 'follow', 'twitter']",2,0,17
52293590957_201891026556540,"Listen for us on BCR. We're in their Hard Rock/Metal rotation from 3P-7P EST, streaming right from your browser. ","Pile of Kittens | Brooklyn, NY Underground Rock, Metal, & Alternative Bands Streaming 24/7 at Black.",link,http://www.blackcollarradio.com/artists.php?artist_id=341&name=Pile+Of+Kittens,2011-11-27 10:24:06,0,3,0,0,0,0,0,0,0,0.0,0.0,"['listen', 'bcr', 'hard', 'rotation', 'est', 'streaming', 'browser']",0,1,6
52293590957_164119747019260,"Sign up, and become a fan on our page. Also, listen to ReverbRadio streaming right from the site. Cool, eh? You might even catch us on there. Listen to the tracks and like 'em from the media player. Show your Kitten love as much as you can! POK thanks you.
","Pile of Kittens | Brooklyn, NY",video,http://www.reverbnation.com/pileofkittens,2011-11-24 01:57:02,0,0,0,0,0,0,0,0,0,0.0,0.0,"['sign', 'become', 'fan', 'page', 'listen', 'reverbradio', 'streaming', 'site', 'cool', 'you', 'might', 'catch', 'listen', 'tracks', 'like', 'media', 'player', 'show', 'kitten', 'love', 'much', 'pok', 'thanks']",3,0,20
52293590957_261177727266274,"Check out our myspace page and like us (if you do, that is). The link to facebook is right on there. And check out our tunes! Show us some support!",Pile of Kittens,link,http://www.myspace.com/pileofkittens,2011-11-15 11:20:05,0,0,0,0,0,0,0,0,0,0.0,0.0,"['check', 'myspace', 'page', 'like', 'link', 'facebook', 'right', 'and', 'check', 'tunes', 'show', 'support']",3,0,9
52293590957_10150374600140958,POK <3's all of you. Have a great Monday! Back to the grind.,,status,,2011-11-14 10:26:46,0,0,0,0,0,0,0,0,0,0.0,0.0,"['pok', 'have', 'great', 'monday', 'back', 'grind']",1,1,4
52293590957_10150366101715958,The Kittens want to thank you all for being so patient. We plan on gigging by December. Working in the studio on some new songs. We'll be bringing the 'core to you soon! *Meow*,,status,,2011-11-09 08:54:16,2,0,0,2,0,0,0,0,0,1.0,0.0,"['kittens', 'want', 'thank', 'patient', 'plan', 'gigging', 'december', 'working', 'studio', 'new', 'songs', 'bringing']",2,0,10
52293590957_10150358368735958,Happy Belated Halloween to all! Did you do anything crazy to celebrate this year?,,status,,2011-11-02 18:32:46,0,0,0,0,0,0,0,0,0,0.0,0.0,"['happy', 'belated', 'halloween', 'did', 'anything', 'crazy', 'celebrate', 'year']",2,2,4
52293590957_10150348758665958,Back in the studio tomorrow. Continuing to work on some new tunes.,,status,,2011-10-25 15:00:15,0,0,0,0,0,0,0,0,0,0.0,0.0,"['studio', 'tomorrow', 'continuing', 'work', 'new', 'tunes']",1,0,5
52293590957_10150332801845958,Trying to book some gigs for the fall in CT. We'll keep you posted on future dates here.,,status,,2011-10-12 20:49:37,1,0,0,1,0,0,0,0,0,0.5,0.0,"['trying', 'book', 'gigs', 'fall', 'posted', 'future', 'dates']",0,1,6
52293590957_10150319009660958,I think it's time to update the band photos. Anyone know of a good photographer who can take some nice shots of us around the city? Candid shots would be a plus.,,status,,2011-10-01 15:02:47,0,1,0,0,0,0,0,0,0,0.0,0.0,"['think', 'time', 'update', 'band', 'photos', 'know', 'good', 'photographer', 'take', 'nice', 'shots', 'around', 'city', 'candid', 'shots', 'would', 'plus']",2,0,15
